AP1,AP2,AP3,AP4,AP5,Coordenada X,Coordenada Y
-60,-60,-56,-66,-60,6.50,10.46
-64,-58,-61,-66,-58,7.48,10.42
-66,-57,-63,-67,-59,8.41,11.55
-61,-52,-65,-69,-61,8.46,12.58
-58,-51,-60,-72,-57,8.37,13.61
-65,-54,-58,-75,-56,8.37,14.44
-69,-59,-59,-68,-55,7.43,14.54
-68,-55,-60,-65,-59,6.50,13.56
-69,-58,-61,-70,-53,5.43,12.63
-67,-59,-62,-76,-53,4.41,12.63
-71,-57,-63,-76,-56,3.47,12.72
-67,-51,-60,-77,-45,2.41,13.66
-63,-54,-64,-77,-43,2.41,15.43
-65,-51,-73,-79,-42,2.45,17.59
-64,-58,-68,-74,-53,3.52,18.57
-68,-57,-70,-76,-54,4.41,18.52
-70,-59,-66,-76,-54,5.39,18.52
-61,-54,-60,-73,-53,6.41,17.59
-63,-56,-58,-75,-53,7.43,17.69
-57,-53,-59,-76,-56,8.50,17.59
-56,-59,-67,-75,-61,9.43,18.52
-58,-61,-62,-76,-60,10.46,18.72
-58,-61,-62,-76,-60,10.46,19.12
-60,-54,-64,-70,-65,12.46,18.62
-58,-60,-54,-77,-69,13.44,18.67
-60,-57,-59,-82,-63,14.46,17.59
-51,-67,-54,-75,-63,14.46,15.57
-45,-64,-59,-74,-62,14.46,13.56
-44,-64,-53,-78,-66,15.44,12.53
-52,-68,-52,-73,-70,16.46,12.53
-53,-62,-54,-74,-68,17.44,13.51
-58,-66,-50,-73,-65,17.44,15.57
-59,-62,-47,-78,-68,17.44,17.49
-58,-70,-47,-82,-75,18.46,18.57
-59,-63,-43,-79,-70,19.48,18.62
-65,-69,-44,-78,-64,20.46,17.64
-60,-70,-44,-81,-74,20.46,15.48
-61,-72,-50,-81,-70,20.46,13.56
-50,-66,-54,-76,-63,19.48,12.43
-49,-69,-65,-79,-73,18.46,11.55
-39,-73,-59,-76,-75,17.44,10.61
-55,-72,-64,-75,-69,15.48,10.51
-44,-70,-65,-64,-81,14.50,9.43
-39,-74,-68,-61,-75,15.44,8.45
-50,-82,-72,-68,-84,15.39,6.53
-52,-79,-76,-66,-86,15.35,4.57
-54,-80,-75,-62,-81,15.44,2.60
-45,-78,-71,-61,-80,16.42,2.70
-48,-73,-65,-60,-78,16.46,4.52
-46,-76,-66,-66,-77,16.50,6.48
-40,-69,-66,-68,-70,16.50,8.55
-40,-70,-61,-63,-72,15.48,9.48
-57,-67,-62,-73,-76,14.29,10.51
-69,-65,-63,-68,-72,12.41,10.61
-58,-65,-58,-59,-60,10.46,10.56
-52,-60,-73,-54,-69,10.95,9.09
-54,-61,-66,-51,-75,10.95,6.98
-58,-69,-76,-43,-75,10.99,5.01
-55,-66,-69,-51,-76,10.99,3.00
-53,-74,-69,-52,-74,12.01,2.11
-59,-70,-76,-54,-77,12.99,3.00
-54,-68,-74,-49,-75,12.95,5.06
-56,-65,-63,-52,-73,12.95,6.98
-59,-66,-74,-60,-70,12.95,8.94
-56,-59,-71,-56,-69,12.01,9.53
